algoritmo,tamanho,threads,tempo
matrixmult,500,1,0.050691
matrixmult,500,2,0.027036
matrixmult,500,4,0.023375
matrixmult,1000,1,0.450049
matrixmult,1000,2,0.225232
matrixmult,1000,4,0.175870
matrixmult,2000,1,8.840062
matrixmult,2000,2,5.295763
matrixmult,2000,4,3.323756
selection,100000,1,11.431273
selection,100000,2,2.916539
selection,100000,4,2.035848
selection,200000,1,46.363729
selection,200000,2,9.716202
selection,200000,4,6.011446
selection,400000,1,185.495672
selection,400000,2,37.320274
selection,400000,4,21.907592
heapsort,100000,1,0.008285
heapsort,100000,2,0.008957
heapsort,100000,4,0.009021
heapsort,200000,1,0.017921
heapsort,200000,2,0.019968
heapsort,200000,4,0.018087
heapsort,8000000,1,3.071634
heapsort,8000000,2,3.376809
heapsort,8000000,4,3.489550
histograma,100000,1,0.000038
histograma,100000,2,0.000096
histograma,100000,4,0.000149
histograma,200000,1,0.000075
histograma,200000,2,0.000156
histograma,200000,4,0.000207
histograma,400000,1,0.000168
histograma,400000,2,0.000197
histograma,400000,4,0.000188
